SELECT * WHERE (a2 != 0 || a3 != 0 || a4 != 0 || a5 != 0 || a6 != 0 || a7 != 0),classes
???? ????? ????? ???? ??? ???? ?? ???????? ???? ????? ????? ???? ???? ??? ??? ?????? ??? ????? ????? ?? ????? ???? ?????? ??? ?????????? ???? ??? ???,NoAG
???? ??? ?????????????? ??????? ?????,NoAG
"????????? ???????? ???? ?????? ?????? ?????? ????? ???,???? ??? ????????? ????? ??? ??? ??? ?? ??? ?? ??? ??? ?? ??? ???? ???,??????? ???? ??? ?????",NoAG
"???????? ???????? ????? ???? ??????? ??????? ????? ???, ??? ?????? ???? ???, ??????? ??? ???? ???? ???? ?????? ??????? ????????? ??????? ????? ????? ??? ??? ????????",NoAG
??????? ??? ??? ???? ??? ???? ??? ??? ??? ???? ?? ,NoAG
????? ?????? ???? ?????? ?? ??? ??? ?? ?? ????? ???,NoAG
????? ?????? ???? ???? ?????! ????? ?????????? ?????? ??? ????? ???????? ?? ???? ?????????!,NoAG
"???????,,,??? ??? ???? ?????? ????? ???????????????,,????? ?? ??,???? ???????? ????? ??? ??????? ????? ?? ????? ??? ????? ?????????? ???????? ????? ????? ??? ???,,,?????? ??? ?????? ????? ??? ????? ??? ????,,?????",NoAG
???? ??????? ?????? ???? ????? ????? ?????? ????? ??????? ???????? ????,NoAG
?????? ????? ????? ?????? ??????? ?????? ?????? ???????? ? ,NoAG
??????? ????? ??????? ????? ?? ???? ?????? ?? ???? ?????? ?????? ??????? ???? ???,NoAG
????? ????????? ??? ?????? ???????????? ??????? ?????? ?????,NoAG
???????? ??????? ???? ???? ??? ???????? ??????? ??? ???? ????,NoAG
?????? ??? ??????? ????? ??? ????? ???? ?? ????? ????? ??? ?? ?????,NoAG
"???? ???? ????? ??????? ???? ???? ???, ???? ????? ??????..........",NoAG
????? ????? ???????? ????? ?? ??? ????? ???? ?? ?????????? ??????? ???? ?????? ???? ????? ??? ?????,NoAG
???? ??????? ??????? ????? ????? ???? ???? ???? ??? ????? ? ??? ???? ?????????? ??????? ??? ?????? ???? ?? ????? ???? ????? ???? ?? ????? ?????????,NoAG
