Text,classes
একটা বেকার ছেলের মাকে খুন করার মত মানসিকতা তৈরী হওয়ার পিছনে কারণ গুলো বের করে সমাধান করা উচিত। নতুবা এই ধরণের ঘটনা বারবার ঘটা অস্বাভাবিক কিছু হবে না।,NoAG
আরিফ ভাই রোহিঙ্গাদেদেরও সাহায্য করুন।,NoAG
"বাংলাদেশে নির্বাচন আসলে ব্যাপক বিনোদন ফ্রিতে পাওয়া যায়,আমরা চায় বাংলাদেশে প্রতি পাচ বছর বছর না হয়ে এক বছর বছর পর হলে ভালো হতো,হার্টের রোগী কমে যেতো।",NoAG
"বিশ্বকাপ চলাকালীন সময়ে আমরা দিরিলিস আর্তগোল দেখতে চাই, তাই আপনারা দয়া করে, অনুগ্রহ করে অন্য সময় হলেও আমাদের দিরিলিস প্রেমীদের দিরিলিস দেখার সুযোগ করে দিন ধন্যবাদ।",NoAG
চাকুরীর আশা বাদ দিয়ে যদি কিছু করা যায় তবে মন্দ কি ,NoAG
কাজকে সম্মান করার শিক্ষা না হলে আরো কত কি দেখতে হবে,NoAG
নিজের উপজেলা শুধু বেছে নিলেন! দেশের প্রত্যেকটা উপজেলা এবং গ্রাম লোডশেডিং এর কবলে বিপর্যস্ত!,NoAG
"অসাধারণ,,,খুব ভাল লাগে আপনাকে আপনার কর্মকান্ডগুলোকে,,আপনার মত সৎ,দক্ষ পরিশ্রমী সাংসদ যদি প্রতিটি আসনেই হত তাহলে খুব সহজেই বঙ্গবন্ধুর স্বপ্নের সোনার বাংলা গড়ে উড়ত,,,আল্লাহ পাক আপনাকে দীর্ঘ নেক হায়াৎ দান করুক,,আমিন।",NoAG
দেশে আপনারমত আরকিছু নেতা দরকার তাহলে আমাদের দেশটা ডিজিটাল বাংলাদেশ হবে।,NoAG
হাজারো সালাম জানাই স‍্যার আপনাকে। এগিয়ে যাচ্ছে বাংলাদেশ । ,NoAG
ভাবতেছি এবারে পায়জামা কিনবো না একটা গেঞ্জি আর একটা লুঙ্গি কিনবো। দুইটারি পকেট নাই,NoAG
তারটি অর্ধছেঁড়া ছিল কিন্তু পল্লীবিদ্যুৎ ওয়ালারা মেরামত করেনি,NoAG
হায়েনারা গতিবিদি লক্ষ রাখে তাই সাবধানতা অভলম্বন করা উচিত ভাই।,NoAG
বাড়িতে যান নির্ভয়ে কিছুই হবে না।।। মরতে তো একদিন হবেই। ভীত নয় আমরা।,NoAG
"কারো জন্য কিছুই কোনোদিন করতে পারি নাই, শুধু নিয়েই যাচ্ছি..........",NoAG
বাড়ি গিয়ে পরিবারের সঙ্গে ঈদ করে আসুন। ঈদের পর ইনশাআল্লাহ আন্দোলন গড়ে তুলুন। আমরা ছিলাম আছি থাকবো,NoAG
আমরা দিরিলিস প্রেমী। দীর্ঘ ১সিজন থেকে দেখা শুরু করে ২সিজন এ এসে থেমে আছি।আপনারা দিরিলিস রাত প্রচার করতে না পারলে দিনে করুণ। দিনে না পারলে সন্ধ্যায়।,NoAG
মাকে খুন করার মাধ্যমে এই ছেলে প্রমান করলো ও চাকুরির জন্য অযোগ্য তবে কিলার হিসাবে ও ভালো করবে।,NoAG
আমার বাবা মা ও প্রতিটা মূহুর্তে আমাকে এই যন্ত্রনা দিয়ে যাচ্ছে।কিন্তু তাদের কোনভাবেই বুঝাতে পারি না কত চেষ্টা করছি।তারা মনে করে শুধু পড়ালেখা শেষ করলেই চাকরী।,NoAG
"প্রধানমন্ত্রী যদি ১০ কোটি লোকের চাকরী দিয়ে থাকেন,তবে তার বেকার থাকার কথা নয়।",NoAG
